가입일자,사용자코드,연령대코드,성별,가입 수
'2018-02-17','회원-내국인','30대','F',28
'2018-02-17','회원-내국인','30대','M',35
'2018-02-17','회원-내국인','40대','F',21
'2018-02-17','회원-내국인','40대','M',25
'2018-02-17','회원-내국인','50대','F',11
'2018-02-17','회원-내국인','50대','M',14
'2018-02-17','회원-내국인','60대','F',4
'2018-02-17','회원-내국인','60대','M',3
'2018-02-17','회원-내국인','70대~','F',2
'2018-02-17','회원-내국인','70대~','M',1
'2018-02-18','회원-내국인','~10대','F',10
'2018-02-18','회원-내국인','~10대','M',10
'2018-02-18','회원-내국인','20대','F',104
'2018-02-18','회원-내국인','20대','M',68
'2018-02-18','회원-내국인','30대','F',39
'2018-02-18','회원-내국인','30대','M',53
'2018-02-18','회원-내국인','40대','F',18
'2018-02-18','회원-내국인','40대','M',29
'2018-02-18','회원-내국인','50대','F',11
'2018-02-18','회원-내국인','50대','M',12
'2018-02-18','회원-내국인','60대','F',5
'2018-02-18','회원-내국인','60대','M',5
'2018-02-18','회원-내국인','70대~','F',1
'2018-02-18','회원-내국인','70대~','M',1
'2018-02-19','회원-내국인','~10대','F',11
'2018-02-19','회원-내국인','~10대','M',7
'2018-02-19','회원-내국인','20대','F',103
'2018-02-19','회원-내국인','20대','M',99
'2018-02-19','회원-내국인','30대','F',23
'2018-02-19','회원-내국인','30대','M',62
'2018-02-19','회원-내국인','40대','F',18
'2018-02-19','회원-내국인','40대','M',27
'2018-02-19','회원-내국인','50대','F',6
'2018-02-19','회원-내국인','50대','M',10
'2018-02-19','회원-내국인','60대','F',1
'2018-02-19','회원-내국인','60대','M',10
'2018-02-19','회원-내국인','70대~','F',2
'2018-02-19','회원-내국인','70대~','M',2
'2018-02-20','회원-내국인','~10대','F',9
'2018-02-20','회원-내국인','~10대','M',6
'2018-02-20','회원-내국인','20대','F',84
'2018-02-20','회원-내국인','20대','M',79
'2018-02-20','회원-내국인','30대','F',39
'2018-02-20','회원-내국인','30대','M',50
'2018-02-20','회원-내국인','40대','F',13
'2018-02-20','회원-내국인','40대','M',27
'2018-02-20','회원-내국인','50대','F',14
'2018-02-20','회원-내국인','50대','M',10
'2018-02-20','회원-내국인','60대','F',4
'2018-02-20','회원-내국인','60대','M',5
'2018-02-21','회원-내국인','~10대','F',7
'2018-02-21','회원-내국인','~10대','M',5
'2018-02-21','회원-내국인','20대','F',78
'2018-02-21','회원-내국인','20대','M',67
'2018-02-21','회원-내국인','30대','F',25
'2018-02-21','회원-내국인','30대','M',25
'2018-02-21','회원-내국인','40대','F',17
'2018-02-21','회원-내국인','40대','M',29
'2018-02-21','회원-내국인','50대','F',8
'2018-02-21','회원-내국인','50대','M',9
'2018-02-21','회원-내국인','60대','F',2
'2018-02-21','회원-내국인','60대','M',6
'2018-02-21','회원-내국인','70대~','F',2
'2018-02-22','회원-내국인','~10대','F',8
'2018-02-22','회원-내국인','~10대','M',5
'2018-02-22','회원-내국인','20대','F',66
'2018-02-22','회원-내국인','20대','M',63
'2018-02-22','회원-내국인','30대','F',17
'2018-02-22','회원-내국인','30대','M',21
'2018-02-22','회원-내국인','40대','F',13
'2018-02-22','회원-내국인','40대','M',20
